booking_id,age,country,travel_type,transport,hotel_stars,nights,distance_km,season,booking_advance_days,travel_insurance,total_price,cancelled
50,26,UK,Leisure,Plane,1,13,3372,Winter,163,no,2735.1,no
51,56,Spain,Leisure,Plane,5,5,106,Winter,169,yes,1129.47,no
52,35,UK,Leisure,Plane,1,7,3801,Autumn,63,yes,1525.18,no
53,21,Germany,Leisure,Plane,4,7,9563,Spring,170,yes,1950.3,no
54,42,France,Business,Train,3,1,5730,Spring,125,yes,1404.24,no
55,31,Spain,Business,Plane,1,12,2656,Summer,106,yes,2476.28,no
56,67,Italy,Leisure,Plane,3,14,3054,Winter,171,yes,2191.91,no
57,26,France,Leisure,Plane,3,5,7487,Winter,148,yes,1523.42,no
58,43,Italy,Leisure,Plane,5,8,6888,Autumn,98,no,2824.06,no
59,70,France,Leisure,Plane,2,7,9891,Autumn,119,yes,2392.33,no
60,19,France,Business,Plane,4,11,9958,Spring,119,no,3055.98,no
61,37,UK,Business,Plane,1,2,9353,Autumn,152,yes,1994.09,no
62,45,Spain,Leisure,Plane,2,14,4761,Spring,163,yes,1948.93,no
63,64,Spain,Leisure,Train,5,8,3901,Winter,41,yes,1829.04,no
64,24,France,Leisure,Plane,2,2,5733,Winter,122,no,1101.92,no
65,61,Germany,Leisure,Plane,3,10,7513,Spring,16,no,2524.37,no
66,25,Germany,Leisure,Plane,3,1,1263,Autumn,122,yes,655.8,no
67,64,Italy,Business,Train,4,11,1381,Autumn,80,no,2571.14,no
68,52,Italy,Business,Plane,1,11,8287,Spring,106,no,2596.45,no
69,31,UK,Leisure,Plane,1,14,9500,Winter,6,yes,3428.28,no
70,34,France,Leisure,Plane,5,11,402,Spring,20,no,1836.6,no
71,53,Italy,Business,Plane,4,3,9047,Autumn,136,yes,2248.91,no
72,67,Italy,Leisure,Plane,1,3,4359,Spring,97,yes,884.89,no
73,57,USA,Leisure,Plane,3,6,5863,Winter,6,yes,1739.42,no
74,21,France,Leisure,Plane,4,12,9518,Summer,8,no,2648.69,yes
75,19,UK,Business,Plane,2,3,8280,Spring,14,yes,1905.38,no
76,23,Italy,Leisure,Plane,4,7,7675,Summer,131,no,2453.23,no
77,71,UK,Leisure,Train,4,8,9525,Spring,130,no,2630.88,no
78,59,Spain,Business,Plane,1,3,6078,Autumn,22,yes,1491.17,no
79,21,UK,Business,Plane,5,9,9189,Autumn,85,yes,3896.81,no
80,71,Germany,Business,Plane,5,1,6190,Summer,134,no,1838.73,no
81,46,Germany,Leisure,Train,1,3,8254,Spring,178,yes,1744.64,no
82,35,UK,Leisure,Plane,1,12,8283,Autumn,44,yes,2236.78,no
83,43,Germany,Business,Plane,1,3,5780,Summer,8,no,1588.24,yes
84,61,Spain,Business,Plane,5,7,6611,Summer,24,no,2431.98,no
85,51,France,Leisure,Plane,1,11,3462,Spring,27,no,1728.15,no
86,27,Germany,Leisure,Plane,2,11,9746,Autumn,51,yes,3250.47,no
87,53,Germany,Business,Plane,2,5,2112,Summer,156,yes,1300.78,no
88,31,UK,Business,Plane,3,4,1200,Winter,69,no,1424.28,no
89,48,Spain,Leisure,Train,2,2,9107,Winter,25,no,1722.14,no
90,65,France,Leisure,Plane,4,7,5204,Autumn,44,yes,1550.32,no
91,32,UK,Leisure,Plane,3,3,5715,Autumn,175,no,1353.91,no
92,25,UK,Leisure,Train,2,7,9612,Winter,119,yes,1982.25,no
93,31,USA,Leisure,Train,4,10,4602,Summer,109,yes,2373.35,no
94,40,Spain,Leisure,Plane,2,12,7723,Spring,120,yes,3167.99,no
95,74,France,Leisure,Train,4,7,4687,Summer,13,yes,1729.85,no
96,57,Spain,Leisure,Plane,1,11,9324,Autumn,53,no,2376.41,no
97,38,France,Leisure,Plane,4,2,6137,Autumn,37,yes,1320.57,no
98,33,Spain,Business,Train,1,7,1255,Spring,115,yes,1365.3,no
99,62,UK,Leisure,Plane,4,6,9392,Summer,40,no,2042.68,no
100,35,UK,Leisure,Plane,4,10,1096,Spring,78,no,2359.48,no
101,64,Italy,Business,Plane,2,4,9727,Summer,95,yes,2251.53,no
102,70,Germany,Leisure,Plane,4,11,5309,Summer,134,no,1957.91,no
103,41,USA,Business,Plane,2,5,2645,Winter,25,no,1408.39,no
104,43,Spain,Business,Plane,4,12,3800,Summer,103,no,2497.9,no
105,42,USA,Leisure,Train,5,8,6865,Autumn,46,no,2217.48,no
106,62,Italy,Business,Plane,3,5,5084,Autumn,159,yes,1840.78,no
107,58,Germany,Leisure,Plane,2,3,453,Autumn,102,yes,558.01,no
108,46,Spain,Leisure,Train,2,2,2418,Winter,91,no,669.85,no
109,32,France,Leisure,Plane,1,6,9030,Spring,94,no,1910.08,no
110,62,Germany,Leisure,Plane,5,6,2619,Autumn,68,yes,1946.44,no
111,18,UK,Business,Plane,1,7,5527,Autumn,39,yes,2106.2,no
112,42,Italy,Leisure,Plane,5,8,4703,Spring,80,no,2433.78,no
113,24,Germany,Leisure,Plane,5,4,8346,Winter,164,yes,1871.96,no
114,26,Germany,Leisure,Plane,4,12,2184,Summer,135,yes,2556.95,no
115,41,UK,Leisure,Plane,1,8,999,Spring,85,yes,954.78,no
116,18,Spain,Leisure,Plane,3,12,8815,Summer,66,yes,3553.9,no
117,61,France,Leisure,Plane,5,1,562,Summer,55,yes,828.85,no
118,25,UK,Business,Train,5,6,1601,Summer,72,yes,2165.39,no
119,41,France,Leisure,Plane,2,6,815,Spring,42,yes,1295.52,no
120,28,Spain,Business,Plane,4,3,5430,Spring,155,no,2000.48,no
121,68,Germany,Leisure,Plane,3,9,7274,Summer,130,no,2163.41,no
122,34,France,Business,Train,5,12,3711,Winter,70,no,3148.45,no
123,25,Italy,Business,Plane,2,12,9280,Winter,132,no,2906.57,no
124,52,Italy,Leisure,Train,1,5,311,Winter,21,no,568.57,no
125,52,UK,Leisure,Plane,5,1,7456,Autumn,1,yes,1761.22,no
126,50,Spain,Business,Train,2,7,853,Summer,166,yes,1771.44,no
127,22,UK,Leisure,Plane,1,10,3850,Autumn,60,yes,1324.06,no
128,59,UK,Business,Plane,4,14,3322,Winter,76,yes,3203.01,no
129,56,USA,Leisure,Plane,1,3,535,Spring,91,yes,620.03,no
130,58,UK,Leisure,Plane,5,10,9527,Winter,142,no,2884.61,no
131,45,USA,Leisure,Plane,3,10,9070,Autumn,88,yes,2910.07,no
132,24,Italy,Business,Plane,1,11,5029,Autumn,82,yes,2957.76,no
133,26,Italy,Leisure,Plane,3,4,2060,Winter,17,no,1286.06,no
134,25,UK,Business,Plane,3,6,4372,Summer,73,yes,2057.8,no
135,29,Italy,Business,Plane,1,8,5913,Spring,175,no,2006.62,no
136,51,Spain,Leisure,Plane,4,13,1824,Spring,56,yes,1879.25,no
137,50,USA,Leisure,Plane,1,4,8477,Winter,127,yes,1243.48,no
138,65,USA,Business,Plane,2,12,1594,Summer,53,no,2162.46,no
139,72,UK,Leisure,Plane,3,9,2079,Summer,128,no,2218.28,no
140,40,Italy,Business,Plane,5,8,5528,Winter,146,yes,3188.7,no
141,41,France,Leisure,Plane,3,10,4153,Spring,48,yes,2499.56,no
142,54,USA,Leisure,Plane,5,10,8537,Spring,137,no,2641.24,no
143,52,UK,Business,Plane,2,6,7260,Spring,54,yes,2122.92,no
144,61,UK,Leisure,Plane,2,7,8675,Summer,163,no,2435.7,no
145,57,Spain,Leisure,Plane,2,8,7309,Winter,174,no,2302.13,no
146,39,Germany,Leisure,Train,1,2,384,Summer,1,yes,406.73,no
147,44,Germany,Leisure,Plane,3,5,5183,Spring,41,no,1854.18,no
148,52,USA,Leisure,Plane,5,13,4094,Summer,73,no,3177.56,no
149,18,Spain,Business,Plane,2,7,8591,Spring,160,yes,2966.09,no
150,52,Spain,Leisure,Plane,2,8,1000,Winter,77,no,1425.06,no
151,54,Spain,Leisure,Plane,5,5,1559,Spring,40,no,1563.52,no
152,64,USA,Leisure,Plane,3,3,3021,Autumn,139,yes,1031.11,no
153,31,Germany,Leisure,Train,3,6,2633,Autumn,174,no,1564.0,no
154,20,Spain,Leisure,Train,5,5,6679,Winter,48,yes,1669.98,no
155,18,Italy,Business,Plane,4,8,905,Summer,43,yes,1849.1,no
156,22,UK,Business,Plane,3,9,7695,Summer,179,no,2431.27,no
157,43,UK,Leisure,Plane,5,9,2328,Summer,42,yes,1724.23,no
158,72,France,Leisure,Plane,5,12,2021,Spring,154,no,3049.37,no
159,31,France,Leisure,Train,2,12,5072,Autumn,104,yes,2123.78,no
160,56,USA,Leisure,Plane,5,6,2487,Winter,11,yes,2000.29,no
161,44,USA,Leisure,Plane,1,4,2096,Summer,25,no,696.21,no
162,26,UK,Leisure,Plane,2,4,4925,Summer,40,no,1165.59,no
163,32,Italy,Leisure,Plane,2,9,5382,Winter,25,no,2049.78,no
164,32,Germany,Leisure,Train,3,4,2603,Spring,84,no,1161.25,no
165,43,Germany,Leisure,Plane,4,8,204,Summer,106,yes,1654.53,no
166,59,USA,Business,Plane,3,9,6962,Spring,119,no,2897.37,no
167,30,Italy,Leisure,Plane,1,5,8730,Spring,108,yes,2081.92,no
168,68,USA,Leisure,Train,2,13,1621,Spring,74,yes,2060.34,no
169,49,Germany,Leisure,Plane,2,6,1451,Summer,113,yes,1190.3,no
170,56,USA,Leisure,Train,5,3,2798,Summer,131,no,1253.45,no
171,66,Spain,Business,Plane,4,12,3712,Winter,39,yes,3227.52,no
172,69,USA,Leisure,Train,4,5,608,Winter,91,yes,1267.5,no
173,49,UK,Leisure,Plane,5,5,5410,Spring,163,yes,1686.36,no
174,21,USA,Leisure,Plane,1,14,6290,Summer,168,yes,2343.36,no
175,47,UK,Business,Plane,4,2,1374,Spring,22,no,1362.23,no
176,54,Italy,Leisure,Plane,2,10,2922,Winter,19,yes,2316.48,no
177,40,Germany,Leisure,Plane,1,6,163,Spring,14,yes,697.24,no
178,56,France,Leisure,Train,3,9,4021,Autumn,109,yes,2303.92,no
179,62,France,Leisure,Plane,3,11,959,Spring,178,yes,1976.9,no
180,32,Germany,Leisure,Plane,1,7,1647,Summer,43,yes,1185.31,no
181,60,France,Leisure,Plane,2,14,2176,Spring,55,yes,2903.8,no
182,46,USA,Leisure,Plane,3,8,536,Spring,168,yes,1532.56,no
183,53,Italy,Business,Train,2,2,6185,Summer,12,yes,1497.85,no
184,30,Italy,Leisure,Plane,5,11,3757,Autumn,162,no,2425.94,no
185,49,Germany,Leisure,Train,4,13,862,Summer,108,no,1927.61,no
186,24,France,Leisure,Train,1,14,835,Winter,83,yes,2311.16,no
187,68,USA,Business,Plane,4,9,7314,Autumn,23,yes,3183.54,no
188,39,Italy,Leisure,Plane,5,3,7684,Autumn,135,no,1925.04,no
189,45,Italy,Business,Train,3,10,4194,Summer,146,yes,2370.4,no
190,19,Spain,Leisure,Plane,2,5,6694,Spring,136,yes,1406.9,no
191,59,Spain,Leisure,Plane,2,14,4828,Winter,89,yes,2601.16,no
192,62,Italy,Leisure,Plane,5,7,9870,Winter,42,no,2527.34,no
193,74,Germany,Leisure,Plane,1,4,3829,Autumn,93,no,971.04,no
194,70,UK,Business,Plane,4,7,7341,Winter,93,yes,2566.67,no
195,23,UK,Business,Plane,3,8,1176,Autumn,1,yes,2168.4,no
196,45,USA,Leisure,Plane,1,13,1930,Autumn,79,yes,2333.43,no
197,45,Italy,Leisure,Train,5,10,773,Winter,143,yes,2347.31,no
198,61,Italy,Business,Plane,5,14,648,Autumn,156,yes,3513.55,no
199,61,Italy,Leisure,Plane,2,10,9228,Spring,164,no,2187.92,no
200,37,Germany,Leisure,Plane,3,4,995,Autumn,106,yes,1120.53,no
201,47,Spain,Leisure,Plane,1,5,2669,Spring,46,yes,1192.02,no
202,28,Italy,Leisure,Plane,2,11,1013,Spring,21,yes,2323.71,no
203,72,Italy,Leisure,Plane,3,3,1276,Spring,177,yes,817.3,no
204,45,France,Leisure,Plane,4,5,7373,Winter,167,no,1723.28,no
205,42,Germany,Leisure,Plane,4,8,6796,Spring,38,yes,2640.58,no
206,56,USA,Leisure,Plane,2,3,4965,Winter,9,yes,1225.1,no
207,50,Italy,Leisure,Train,1,14,4406,Summer,20,yes,2961.95,no
208,18,France,Leisure,Plane,3,13,3373,Spring,84,yes,2623.08,no
209,74,UK,Business,Train,4,5,6676,Autumn,8,no,2016.6,yes
210,44,USA,Leisure,Train,4,10,1622,Summer,14,yes,2178.8,no
211,74,Italy,Leisure,Plane,1,1,6525,Summer,62,yes,1101.98,no
212,69,Italy,Business,Plane,2,2,7577,Spring,163,yes,1632.36,no
213,30,France,Business,Plane,5,3,2902,Winter,55,no,1830.38,no
214,58,Germany,Leisure,Train,3,1,3222,Summer,45,no,731.51,no
215,20,Italy,Leisure,Plane,4,13,2556,Spring,149,no,2677.6,no
216,56,UK,Business,Plane,5,11,1749,Summer,53,yes,2583.79,no
217,23,Italy,Business,Plane,1,12,2420,Summer,86,no,2954.91,no
218,25,UK,Business,Plane,2,11,1243,Spring,171,yes,2357.32,no
219,44,USA,Business,Plane,3,9,8337,Autumn,6,yes,2732.93,no
220,26,USA,Leisure,Plane,1,9,3414,Autumn,44,no,2053.8,no
221,54,Spain,Leisure,Plane,2,5,4506,Autumn,91,yes,1328.83,no
222,50,Spain,Leisure,Plane,1,14,2709,Summer,4,yes,1922.38,no
223,68,UK,Leisure,Plane,4,4,7691,Winter,121,yes,1934.37,no
224,59,Germany,Leisure,Plane,4,5,3219,Winter,63,yes,1333.0,no
225,61,Italy,Leisure,Plane,5,4,1500,Summer,92,yes,1282.92,no
226,41,Italy,Leisure,Plane,1,12,9883,Summer,81,no,3580.39,no
227,32,Spain,Business,Train,4,5,8299,Spring,38,yes,2234.77,no
228,71,UK,Leisure,Train,2,7,9275,Winter,52,no,1971.57,no
229,49,Italy,Leisure,Plane,5,11,3697,Summer,157,no,2343.44,no
230,49,Italy,Leisure,Plane,3,8,5589,Autumn,168,yes,1676.4,no
231,41,Germany,Leisure,Plane,1,2,3611,Winter,8,yes,790.52,no
232,58,France,Business,Plane,4,4,3928,Summer,105,no,1687.85,no
233,69,Spain,Leisure,Plane,2,8,665,Spring,163,no,1620.23,no
234,66,Spain,Business,Plane,1,7,7751,Spring,115,yes,2532.98,no
235,66,France,Leisure,Plane,2,9,9192,Winter,123,yes,2042.71,no
236,69,Italy,Leisure,Plane,5,5,2871,Autumn,16,no,1486.85,no
237,29,Germany,Leisure,Plane,4,6,6877,Winter,18,yes,2003.05,no
238,56,Germany,Leisure,Plane,4,11,213,Summer,34,no,1757.78,no
239,19,Spain,Business,Plane,5,8,631,Autumn,132,yes,2136.08,no
240,20,Germany,Leisure,Plane,2,12,9814,Summer,127,no,3456.2,no
241,66,USA,Business,Plane,1,14,3510,Autumn,61,yes,2633.12,no
242,54,France,Leisure,Train,2,11,9336,Autumn,46,no,2312.07,no
243,66,Italy,Business,Plane,1,5,5939,Summer,149,no,2132.02,no
244,73,USA,Leisure,Train,5,14,8324,Winter,77,yes,3157.65,no
245,34,France,Business,Plane,3,9,8424,Spring,123,no,2360.31,no
246,66,UK,Leisure,Plane,1,4,1826,Autumn,166,yes,675.37,no
247,19,Spain,Leisure,Plane,4,8,5170,Autumn,73,yes,2401.57,no
248,19,Germany,Leisure,Plane,4,12,8317,Spring,86,no,3723.85,no
249,45,UK,Business,Plane,4,14,2748,Winter,81,yes,2686.08,no
250,71,Germany,Leisure,Plane,2,3,9553,Spring,164,yes,1841.7,no
251,40,USA,Leisure,Plane,2,5,2165,Winter,134,yes,895.57,no
252,54,Italy,Business,Plane,2,8,1033,Autumn,167,yes,1971.43,no
253,49,Italy,Leisure,Plane,4,10,1150,Autumn,157,no,1581.89,no
254,50,Italy,Leisure,Plane,1,12,9108,Summer,155,yes,2255.39,no
255,18,Germany,Leisure,Plane,4,7,6130,Winter,69,yes,2452.44,no
256,36,UK,Leisure,Train,1,1,7216,Spring,137,yes,876.93,no
257,19,Italy,Business,Plane,2,12,5143,Winter,152,yes,2376.46,no
258,70,UK,Business,Plane,3,4,9029,Winter,147,yes,2156.29,no
259,61,Germany,Leisure,Plane,2,2,6567,Winter,97,no,1124.63,no
260,43,USA,Business,Plane,5,2,3702,Winter,123,yes,1780.31,no
261,49,UK,Leisure,Plane,1,13,6978,Spring,158,yes,2978.61,no
262,23,USA,Leisure,Train,3,7,892,Summer,168,no,1361.51,no
263,49,Germany,Leisure,Plane,2,12,6063,Autumn,119,yes,1944.1,no
264,72,Germany,Leisure,Train,3,12,9647,Spring,32,yes,2449.83,no
265,21,Spain,Leisure,Plane,4,3,1485,Spring,113,no,942.36,no
266,72,Germany,Business,Plane,1,3,1160,Autumn,65,yes,940.15,no
267,28,Germany,Business,Plane,5,6,9663,Summer,162,yes,2627.81,no
268,73,France,Leisure,Plane,4,6,8023,Spring,85,yes,2081.12,no
269,34,Italy,Leisure,Plane,3,1,4238,Autumn,159,yes,1019.99,no
270,55,Spain,Business,Plane,2,1,1249,Summer,59,yes,874.19,no
271,41,Spain,Business,Plane,1,11,7793,Summer,26,no,2901.21,no
272,22,Spain,Business,Train,5,6,7592,Winter,150,yes,2591.3,no
273,69,France,Leisure,Plane,2,7,6427,Spring,162,no,1678.86,no
274,51,USA,Business,Train,5,9,3453,Summer,121,no,2336.59,no
275,23,Germany,Leisure,Plane,1,4,6069,Spring,13,no,1483.92,no
276,39,Italy,Leisure,Plane,3,14,4728,Autumn,55,yes,3191.15,no
277,28,UK,Leisure,Train,5,10,3548,Spring,136,yes,2237.69,no
278,65,USA,Leisure,Train,1,6,5427,Summer,150,yes,1697.47,no
279,33,Germany,Leisure,Plane,5,12,9792,Autumn,56,no,3534.4,no
280,50,France,Leisure,Plane,2,3,5149,Autumn,84,yes,904.99,no
281,26,Germany,Leisure,Plane,5,13,168,Winter,149,no,1768.9,no
282,23,Germany,Business,Plane,2,13,3608,Autumn,98,yes,3057.84,no
283,33,France,Leisure,Plane,2,11,400,Summer,177,no,1578.81,no
284,46,Spain,Leisure,Plane,1,4,6897,Winter,94,yes,1256.17,no
285,20,Spain,Leisure,Train,4,9,2700,Summer,134,no,1725.41,no
286,37,Italy,Business,Train,5,14,2253,Summer,35,yes,2544.34,no
287,53,Italy,Leisure,Plane,3,14,5005,Winter,155,no,3378.42,no
288,36,Spain,Leisure,Plane,2,1,4118,Winter,126,yes,778.94,no
289,43,USA,Leisure,Train,4,5,3182,Spring,113,no,1364.14,no
290,20,UK,Business,Plane,2,11,7174,Summer,168,no,3182.23,no
291,36,Germany,Business,Plane,4,7,1339,Spring,14,yes,1932.08,no
292,37,UK,Leisure,Plane,4,3,559,Autumn,74,yes,953.35,no
293,49,Germany,Leisure,Plane,3,2,8082,Autumn,52,yes,1795.58,no
294,24,Spain,Business,Train,4,13,2726,Spring,106,yes,2793.07,no
295,69,Italy,Leisure,Plane,3,11,3863,Winter,40,no,2499.4,no
296,58,USA,Leisure,Plane,1,2,7120,Autumn,43,yes,911.36,no
297,50,Italy,Leisure,Plane,2,1,2901,Winter,112,yes,659.23,no
298,57,UK,Leisure,Train,3,5,563,Spring,3,no,1298.57,no
299,56,Italy,Leisure,Train,2,13,1097,Winter,143,yes,1622.41,no
300,35,Spain,Leisure,Plane,5,3,5741,Summer,173,no,1387.99,no
301,57,USA,Leisure,Plane,1,11,6484,Autumn,95,yes,1990.61,no
302,18,UK,Business,Plane,5,12,1778,Winter,139,yes,2164.36,no
303,28,USA,Leisure,Plane,5,7,964,Winter,167,yes,1427.2,no
304,45,Germany,Business,Plane,4,1,9482,Summer,19,yes,2293.99,no
305,74,Italy,Leisure,Plane,4,9,7836,Winter,148,yes,2286.66,no
306,42,USA,Leisure,Plane,5,14,2797,Spring,56,yes,2485.03,no
307,67,France,Leisure,Plane,4,2,9156,Spring,78,yes,1931.18,no
308,40,Italy,Business,Plane,2,8,3026,Spring,118,yes,2178.16,no
309,48,Germany,Business,Train,4,10,7642,Autumn,132,yes,3208.62,no
310,47,USA,Leisure,Plane,5,4,4529,Winter,9,yes,1730.51,no
311,59,UK,Business,Plane,4,6,7510,Autumn,153,no,2645.94,no
312,52,Germany,Leisure,Train,4,9,7318,Autumn,175,no,2846.8,no
313,24,France,Business,Plane,3,7,7125,Winter,49,no,2811.09,no
314,33,USA,Business,Plane,3,8,2497,Winter,155,no,1807.75,no
315,43,Spain,Business,Plane,5,7,2321,Spring,28,no,2337.47,no
316,65,Italy,Leisure,Plane,2,2,5914,Autumn,16,yes,1096.31,no
317,74,UK,Leisure,Plane,1,9,6604,Autumn,87,yes,1631.63,no
318,69,Spain,Leisure,Plane,1,1,7622,Winter,174,yes,1353.68,no
319,66,USA,Leisure,Train,5,14,5885,Autumn,174,no,3402.96,no
320,19,USA,Leisure,Plane,2,2,6319,Summer,168,no,980.94,no
321,18,Germany,Leisure,Plane,2,3,4098,Winter,83,yes,1109.99,no
322,65,USA,Leisure,Plane,2,3,2903,Spring,34,yes,783.77,no
323,29,UK,Leisure,Plane,3,14,4647,Summer,138,no,2170.58,no
324,22,Spain,Leisure,Plane,5,10,6610,Summer,1,yes,2064.79,no
325,54,UK,Leisure,Plane,1,4,9117,Spring,66,yes,1879.74,no
326,49,France,Business,Plane,2,5,3761,Summer,115,yes,1653.67,no
327,72,France,Leisure,Plane,5,6,151,Summer,145,no,1646.39,no
328,26,Italy,Leisure,Plane,1,1,6158,Summer,47,yes,784.31,no
329,58,Italy,Business,Plane,3,14,3615,Autumn,24,yes,2673.83,no
330,52,France,Leisure,Train,4,13,3430,Summer,178,yes,1954.79,no
331,36,USA,Leisure,Plane,1,8,7591,Summer,104,yes,2090.31,no
332,65,UK,Leisure,Plane,1,6,1774,Winter,29,yes,1086.48,no
333,33,France,Leisure,Plane,1,10,6128,Spring,72,yes,2392.32,no
334,20,Italy,Business,Plane,4,9,1461,Autumn,86,yes,1755.39,no
335,37,France,Leisure,Plane,2,5,9078,Autumn,104,yes,2096.76,no
336,41,USA,Leisure,Plane,4,7,655,Spring,141,yes,1337.42,no
337,71,France,Leisure,Plane,1,11,7892,Autumn,156,yes,2078.69,no
338,73,UK,Leisure,Plane,3,4,2212,Autumn,133,no,1256.88,no
339,50,Spain,Business,Train,1,6,2310,Autumn,74,yes,1633.1,no
340,41,USA,Leisure,Plane,3,6,1801,Winter,137,yes,1252.94,no
341,69,Italy,Leisure,Train,5,13,2812,Winter,142,no,2949.04,no
342,28,UK,Leisure,Plane,3,4,6563,Autumn,102,yes,1761.72,no
343,66,France,Leisure,Plane,1,6,2416,Spring,138,yes,927.81,no
344,25,France,Leisure,Plane,4,8,6569,Spring,161,yes,2848.2,no
345,53,Spain,Business,Train,1,11,1710,Winter,75,no,1829.25,no
346,55,Italy,Business,Train,1,5,4452,Winter,40,no,1875.7,no
347,57,Italy,Business,Plane,5,2,6443,Summer,134,yes,2060.47,no
348,37,Germany,Business,Plane,2,9,4805,Winter,17,no,2116.18,no
349,52,Italy,Leisure,Plane,1,11,9419,Autumn,164,yes,2921.18,no
350,65,Spain,Leisure,Plane,5,4,5591,Winter,70,no,1591.67,no
351,42,Germany,Business,Plane,4,4,9196,Summer,61,yes,2518.92,no
352,52,Germany,Business,Train,5,11,8455,Summer,111,no,3565.98,no
353,42,France,Business,Plane,5,7,9428,Spring,177,yes,2677.5,no
354,46,France,Leisure,Plane,3,10,4810,Spring,83,yes,1774.82,no
355,35,Italy,Leisure,Plane,2,14,2125,Autumn,24,yes,2245.72,no
356,63,Germany,Business,Plane,2,10,205,Winter,51,no,1997.47,no
357,35,France,Business,Plane,4,6,4559,Summer,170,no,2185.41,no
358,19,Spain,Business,Plane,5,14,3192,Summer,147,yes,3540.36,no
359,71,France,Leisure,Train,4,4,9444,Spring,62,no,2138.49,no
360,52,USA,Leisure,Plane,4,6,798,Spring,67,no,1573.83,no
361,33,USA,Leisure,Plane,2,3,9038,Winter,30,no,1587.69,no
362,58,France,Business,Plane,2,7,6171,Summer,107,yes,2292.55,no
363,53,Germany,Leisure,Plane,2,6,5839,Spring,166,yes,1497.85,no
